file_name,prompt
DGB Data Center_P_006.jpg,"a woman walking down a walkway next to a building, high-end onsen, lumion rendering, lumion render, architectural rendering, rendered in lumion, rendered in lumion pro, architectural render, japanese glass house, detail render, precise architectural rendering, photoralistic rendering, detailed renderings, detailed rendering, architecture render ”, architectural visualization"
DGB Data Center_P_008.jpg,"a large building with a clock on the side of it, rendering of checkmate, lumion rendering, detailed renderings, renderhub next2020, gipf project, iray, wide angle exterior 2022, cg rendering, cg architects, sharp hq rendering, conceptual rendering, architectural rendering, award-winning render, artist impression"
Digital Broadcasting Contents Support Center_P_003.jpg,"a tall building sitting next to a body of water, lumion rendering, renderhub next2020, sharp hq rendering, detailed renderings, rendering of checkmate, detailed rendering, full of clear glass facades, architectural rendering, overall architectural design, lumion render, chinese architecture, bangkok townsquare, conceptual rendering, full of glass facades"
Do-gok Samho Housing Development_2019031411214363716.jpg_1920.jpg,"a group of tall buildings sitting on top of a lush green field, lumion rendering, detailed renderings, tibetan inspired architecture, rendering of checkmate, detailed rendering, architectural rendering, overall architectural design, chinese architecture, cg architects, digital rendering, architecture visualization, realistic. cheng yi, city high-rise, skybridge towers, architectural visualisation, architectural visualization"
Do-gok Samho Housing Development_2019031411214401231.jpg_1920.jpg,"an aerial view of a building with a green roof, conceptual rendering, detailed renderings, detailed rendering, rendering of checkmate, artistic rendering, photoralistic rendering, architectural rendering, parks and public space, sharp hq rendering, landscape architecture photo, lumion rendering, precise architectural rendering, beautiful artist rendering, ecovillage, 2 d axonometric overhead view"
Do-gok Samho Housing Development_2019031411214437258.jpg_1400.jpg,"a group of tall buildings sitting on top of a lush green field, lumion rendering, detailed renderings, skybridge towers, rendering of checkmate, detailed rendering, architectural rendering, lumion render, skyscraper forest community, cg architects, mantra rendering, chinese architecture, duy beni serial, overall architectural design, renderhub next2020"
DonA Dital Media Center_IMG_1820-01.jpg,"a very tall building sitting in the middle of a city, tokio aoyama, modern glass building, transparent building, full of clear glass facades, megatall building, overwatch building, avetetsuya studios, with shiny glass buildings, postmodernism style, full of glass facades, huge futuristic building, futuristic building, upside - down building, sleek glass buildings"
DonA Dital Media Center_IMG_1826-01.jpg,"a very tall building with a lot of windows, megatall building, full of clear glass facades, modern glass building, zaha hadid building, sleek glass buildings, full of glass facades, with shiny glass buildings, zaha hadid style architecture, avenida paulista, dezeen, by Zaha Hadid, multistory building, daniel libeskind"
DonA Dital Media Center_IMG_1845-0.jpg,"a street filled with lots of traffic next to tall buildings, with shiny glass buildings, overwatch building, full of clear glass facades, seoul, megatall building, modern glass building, sleek glass buildings, transparent building, concentrated buildings, office building, full of glass facades, south korea, glass buildings, corporate photo, the hard and strong buildings, solar"
DonA Dital Media Center_IMG_1882-01.jpg,"a large open space with a lot of windows, office ceiling panels, rounded ceiling, suspended ceiling, complex ceiling, open ceiling, sky made of ceiling panels, simple ceiling, by Yahoo Kusama, ceilings, by Yayou Kusama, sunken recessed indented spots, white-space-surrounding, fluorescent ceiling lights, high ceiling, tall ceiling, slanted ceiling"
DonA Dital Media Center_IMG_1887-0.jpg,"the inside of a building with a lot of windows, paler. millions of glass-walled, elegant walkways between towers, office ceiling panels, sunken recessed indented spots, rounded ceiling, 5000k white product lighting, full of clear glass facades, parametric architecture, parametric design, volumeric lighting, perforated metal"
DonA Dital Media Center_IMG_1937-01.jpg,"a very large building with a lot of windows, commercial lighting, accent lighting : : peugot onyx, volumeric lighting, elegant walkways between towers, volumetric outdoor lighting, low spacial lighting : :, lighting on concrete, optical caustic lighting, advanced lighting technology, global lighting, city quality lighting, dynamic and atmospheric lighting, multistory building"
DonA Dital Media Center_IMG_1942-0.jpg,"a black and white photo of a large room, hyperrealistic lighting studio, japanese vfx, inside a grand studio, in realistic data center, photo of a huge theaterstage, in detailed data center, extreamly detailed data center, inside futuristic hangar, detailed studio lighting, by Ryoji Ikeda, motion capture system, avetetsuya studios"
DonA Dital Media Center_IMG_1961-0.jpg,"a very tall building with a lot of windows, megatall building, zaha hadid style architecture, full of clear glass facades, modern glass building, seoul, overwatch building, multistory building, award winning architecture, overall architectural design, architecture award winner, zaha hadid building, sleek glass buildings, curvilinear architecture, huge futuristic building, architectural design, futuristic building"
DonA Dital Media Center_IMG_5507-00.jpg,"a city filled with lots of tall buildings, seoul, with shiny glass buildings, the neat and dense buildings, the hard and strong buildings, highrise business district, high-rise buildings, concentrated buildings, traditional korean city, white buildings, multistory building, high buildings, fully built buildings, epic buildings in the center, high rise buildings, highrise buildings"
DonA Dital Media Center_IMG_5548-00.jpg,"the inside of a building with a lot of windows, full of clear glass facades, paler. millions of glass-walled, transparent glass surfaces, elegant walkways between towers, large glass ceilings, full of glass facades, interior architecture view, sleek glass buildings, inside building, inside the building, clear glass wall, large glass windows, multistory building"
DonA Dital Media Center_IMG_5559-00.jpg,"a large room filled with lots of windows, sunken recessed indented spots, office ceiling panels, paler. millions of glass-walled, interior architecture view, parametric architecture, suspended ceiling, parametric design, high ceiling, rounded ceiling, low spacial lighting : :, overhead ground floor, complex ceiling, architectural finishes, open ceiling"
DonA Dital Media Center_IMG_5569-00.jpg,"a large room filled with lots of windows, paler. millions of glass-walled, full of clear glass facades, clear glass wall, large glass windows, floor - to - ceiling windows, transparent glass surfaces, glass wall, by David Chipperfield, glass walls, pritzker architecture prize, steel window mullions, atrium, reflective glass"
DonA Dital Media Center_IMG_5598-00.jpg,"a very tall building with a lot of windows, parametric architecture, curvilinear architecture, parametric design, by Zaha Hadid, zaha hadid style architecture, swirled architecture, smooth curvilinear design, elegant walkways between towers, zaha hadid architecture, overall architectural design, zaha hadid building, dezeen, smooth architecture, architecture award winner"
DonA Dital Media Center_IMG_5605-0.jpg,"a couple of tall buildings sitting next to each other, modern glass building, transparent building, megatall building, overwatch building, with shiny glass buildings, full of clear glass facades, huge futuristic building, futuristic building, concentrated buildings, inspired by Victor Enrich, full of glass facades, sleek glass buildings, cg architects, postmodernism style, curvilinear architecture"
DonA Dital Media Center_IMG_5643-00.jpg,"a building with a giant white object in front of it, zaha hadid building, by Zaha Hadid, modern glass building, futuristic building, zaha hadid style architecture, megatall building, huge futuristic building, by Victor Enrich, zaha hadid architecture, inspired by Victor Enrich, organic buildings, architecture zaha hadid, ultra - futuristic architecture, sleek glass buildings, portal. zaha hadid"
DonA Dital Media Center_IMG_5670-00.jpg,"a group of people walking down a street next to tall buildings, by Zaha Hadid, zaha hadid building, architecture zaha hadid, zaha hadid style architecture, zaha hadid architecture, portal. zaha hadid, in style of zaha hadid architect, in style of zaha hadid, futuristic building, parametric architecture, inspired by Zaha Hadid, huge futuristic building, by Victor Enrich"
DonA Dital Media Center_IMG_5685-00.jpg,"a group of people standing in front of a building, curvilinear architecture, zaha hadid style architecture, by Zaha Hadid, swirled architecture, parametric architecture, zaha hadid building, zaha hadid architecture, architecture zaha hadid, smooth curvilinear design, smooth architecture, sleek glass buildings, steel archways, modern glass building, curvilinear perspective"
DonA Dital Media Center_IMG_5691-00.jpg,"a couple of buildings that are next to each other, by Zaha Hadid, zaha hadid building, megatall building, zaha hadid style architecture, full of clear glass facades, dezeen, portal. zaha hadid, architecture zaha hadid, rem koolhaas, sustainable architecture, with shiny glass buildings, zaha hadid architecture, award winning architecture, foster and partners, bold architecture"
DonA Dital Media Center_IMG_5703-00.jpg,"a large glass building with a lot of windows, modern glass building, megatall building, curvilinear architecture, huge glass structure, large glass windows, full of clear glass facades, sleek glass buildings, transparent building, office building, overall architectural design, paler. millions of glass-walled, transparent glass surfaces, futuristic building"
DonA Dital Media Center_IMG_5760-00.jpg,"the inside of a building with a lot of windows, office ceiling panels, suspended ceiling, perforated metal, parametric architecture, architecture digest, sunken recessed indented spots, interior architecture view, open ceiling, futuristic hall, elegant walkways between towers, rounded ceiling, complex ceiling, overhead ground floor, parametric design, architectural finishes, metal hard surfaces"
DonA Dital Media Center_IMG_5775-00.jpg,"the inside of a building with lots of windows, full of clear glass facades, elegant walkways between towers, large glass windows, interior architecture view, clear glass wall, inside building, ceiling to floor windows, paler. millions of glass-walled, floor - to - ceiling windows, large glass ceilings, inside the building, angular dynamic white rock floor"
DonA Dital Media Center_IMG_5838-00.jpg,"the inside of a building with a lot of windows, glass railing, white marble interior photograph, paler. millions of glass-walled, full of clear glass facades, large glass ceilings, atrium, white-space-surrounding, smooth marble surfaces, interior architecture view, commercial lighting, highrise made up staircases, transparent glass surfaces, suspended ceiling"
DonA Dital Media Center_IMG_5857-00.jpg,"the inside of a building with a lot of windows, paler. millions of glass-walled, full of clear glass facades, interior architecture view, white marble interior photograph, futuristic hall, inside building, inside the building, large glass ceilings, by Zaha Hadid, white-space-surrounding, office ceiling panels, concrete hitech interior, sunken recessed indented spots"
DonA Dital Media Center_IMG_5924-00.jpg,"a long hallway leading to two elevators in a building, white marble interior photograph, commercial lighting, architectural finishes, office ceiling panels, low spacial lighting : :, fluorescent ceiling lights, 5000k white product lighting, metallic polished surfaces, smooth marble surfaces, suspended ceiling, halfrear lighting, polished concrete, adjacent hallways, corridor"
DonA Dital Media Center_IMG_5928-00.jpg,"a couple of escalators that are in a building, by Zaha Hadid, zaha hadid style architecture, zaha hadid architecture, portal. zaha hadid, architecture zaha hadid, zaha hadid building, in style of zaha hadid architect, in style of zaha hadid, on a futuristic shopping mall, elegant walkways between towers, foster and partners, escalators, brutalist futuristic interior"
DonA Dital Media Center_IMG_5938-00.jpg,"a room filled with lots of windows and lots of lights, office ceiling panels, suspended ceiling, rounded ceiling, complex ceiling, large glass ceilings, open ceiling, interior architecture view, simple ceiling, sky made of ceiling panels, honeycomb structure, ceilings, open wall architecture, sunken recessed indented spots, atrium, perforated metal, fluorescent ceiling lights, high ceiling"
DonA Dital Media Center_IMG_5951-00.jpg,"a group of steps that are next to a building, elegant walkways between towers, curvilinear architecture, architecture digest, medical research facility, pritzker architecture prize, by Tadao Ando, by Zaha Hadid, dezeen, architecture award winner, seoul, zaha hadid building, multistory building, traditional korean city, south korea"
DonA Dital Media Center_IMG_5965-00.jpg,"a man sitting on a bench in front of a building, pritzker architecture prize, full of clear glass facades, curvilinear architecture, huge glass structure, large glass windows, sleek glass buildings, transparent glass surfaces, modern glass building, architecture award winner, paler. millions of glass-walled, neobrutalist architecture, huge futuristic building"
DonA Dital Media Center_IMG_5973-00.jpg,"a couple of buildings that are next to each other, by Zaha Hadid, zaha hadid building, zaha hadid style architecture, portal. zaha hadid, zaha hadid architecture, architecture zaha hadid, in style of zaha hadid architect, in style of zaha hadid, parametric architecture, inspired by Zaha Hadid, daniel libeskind, inspired by Victor Enrich, curvilinear architecture"
DonA Dital Media Center_IMG_5975-00.jpg,"a large white sculpture in front of a tall building, zaha hadid building, by Zaha Hadid, zaha hadid style architecture, parametric architecture, portal. zaha hadid, zaha hadid architecture, architecture zaha hadid, curvilinear architecture, in style of zaha hadid architect, in style of zaha hadid, architecture digest, inspired by Zaha Hadid, smooth architecture, ultra - futuristic architecture"
DonA Dital Media Center_IMG_6994-01.jpg,"a very tall building with a lot of windows, overwatch building, full of clear glass facades, sleek glass buildings, curvilinear architecture, modern glass building, full of glass facades, architecture award winner, megatall building, dezeen, swirled architecture, transparent building, zaha hadid style architecture, zaha hadid building, with shiny glass buildings"
Dongja2 District Urban Redevelopment Plan_P_002.jpg,"a couple of tall buildings sitting next to each other, sleek glass buildings, lumion rendering, skybridge towers, detailed renderings, sharp hq rendering, with shiny glass buildings, rendering of checkmate, lumion render, detailed rendering, fully built buildings, high-rise buildings, vue render, the neat and dense buildings, the hard and strong buildings"
Dongja2 District Urban Redevelopment Plan_P_003.jpg,"a group of people walking down a street next to tall buildings, detailed renderings, lumion rendering, lecture halls and gambling dens, architectural rendering, sharp hq rendering, detailed rendering, modern lush condo as shopfront, renderhub next2020, multistory building, rendering of checkmate, conceptual rendering, detail render, overall architectural design"
Dongja2 District Urban Redevelopment Plan_P_004.jpg,"a couple of tall buildings sitting next to each other, lumion rendering, detailed renderings, architectural rendering, sleek glass buildings, detailed rendering, full of clear glass facades, sharp hq rendering, seoul, with shiny glass buildings, rendering of checkmate, photoralistic rendering, skybridge towers, renderhub next2020, high-rise buildings"
Dongtan emart Traders_2022110916495141884.jpg_1920.jpg,"a city filled with lots of tall buildings, analog data processing plant, ekasportal, extreamly detailed data center, data center, bio factory, emtpy space, corporate photo, distinct horizon, terran trade authority, hwang se - on, large green glass windows, giant hall, in realistic data center, multistory building, the hard and strong buildings"
Dongtan emart Traders_2022110916495184063.jpg_1920.jpg,"a city filled with lots of tall buildings, renderhub next2020, trading depots, black steel buildings, data center, terran trade authority, analog data processing plant, extreamly detailed data center, refrigerated storage facility, the hard and strong buildings, multistory building, hologram center, center model buildings, dezeen, full building"
Dongtan emart Traders_2022110916495229398.jpg_1920.jpg,"a tall building with a sign on the side of it, freddy mamani silvestre facade, perforated metal, inspired by David Chipperfield, archdaily, wolff olins |, award arhitectural photography, open wall architecture, rectilinear, by David Chipperfield, honeycomb structure, polygonal iron steel walls, brutal archi"
Dongtan emart Traders_2022110916495266899.jpg_1920.jpg,"a large building sitting on the side of a road, perforated metal, freddy mamani silvestre facade, inspired by David Chipperfield, award arhitectural photography, cg architects, architecture digest, polygonal iron steel walls, architectural magazine, archdaily, inspired by Tadao Ando, pritzker architecture prize, architecture magazine, by Tadao Ando"
Dongtan emart Traders_2022110916495307417.jpg_1920.jpg,"a city filled with lots of tall buildings, promotional still wide angle, seoul, traditional korean city, multistory building, commercial photo, renderhub next2020, high-rise buildings, night - time city background, sangyeob park, night life buildings, south korea, fully built buildings, city sunset night, city high-rise, urban environment"
Dongtan emart Traders_2022110916495346570.jpg_1400.jpg,"a building with a lot of trees in front of it, retaildesignblog, retaildesignblog.net, saitama prefecture, shopping mall, promotional still wide angle, giant hall, beautiful iwakura, emtpy space, smart design, trading depots, full building, commercial photo, multistory building, vaporwave mall aesthetic, hologram center"
Dongtan emart Traders_2022110916495496557.jpg_456.jpg,"a view of the inside of an office building, bright it interiors, accent lighting : : peugot onyx, rembrandt lighting scheme, dezeen, dezeen showroom, commercial lighting, in a open-space working space, office ceiling panels, 5000k white product lighting, atrium, origami studio 3 design, ouchh and and innate studio"
Dongtan emart Traders_2022110916495523127.jpg_456.jpg,"a couple of escalators that are in a building, food court in a mall, on a futuristic shopping mall, food court, open ceiling, retaildesignblog.net, infinitely long corridors, slanted ceiling, retaildesignblog, high detailed store, promotional still wide angle, hyperdetailed samsung store, infinite corridor, shiny floors, with walkways"
Dongtan Keumkang Penterium IT Tower_P_002.jpg,"a group of cars driving down a street next to tall buildings, sharp hq rendering, sleek glass buildings, full of clear glass facades, conceptual rendering, rendering of checkmate, detailed renderings, detailed rendering, architectural rendering, full of glass facades, renderhub next2020, lumion rendering, paler. millions of glass-walled"
Dongtan Keumkang Penterium IT Tower_P_003.jpg,"a very tall building sitting in the middle of a city, sharp hq rendering, full of clear glass facades, detailed rendering, sleek glass buildings, skybridge towers, detailed renderings, architectural rendering, multistory building, paler. millions of glass-walled, lumion rendering, syndicate corporation, transparent building, precise architectural rendering"
Dongtan Keumkang Penterium IT Tower_P_004.jpg,"a group of people walking down a sidewalk next to a tall building, in future airport rooftop, detailed renderings, detailed rendering, skybridges, roof garden, elegant walkways between towers, sharp hq rendering, lumion rendering, architectural rendering, overall architectural design, multistory building, photoralistic rendering, landscape architecture photo, green terrace, with walkways"
Dongtan Keumkang Penterium IT Tower_P_005.jpg,"a group of people walking down a walkway next to a tall building, detailed renderings, lumion rendering, bangkok townsquare, sharp hq rendering, detailed rendering, tokio aoyama, renderhub next2020, urban plaza, elegant walkways between towers, overall architectural design, cg architects, architectural rendering, in future airport rooftop"
Dongtan Keumkang Penterium IT Tower_P_006.jpg,"a group of people walking down a sidewalk next to tall buildings, detailed renderings, lumion rendering, sharp hq rendering, conceptual rendering, detailed rendering, elegant walkways between towers, architectural rendering, photoralistic rendering, digital rendering, a digital rendering, landscape architecture photo, rendering of checkmate, artistic rendering, lumion render, parks and public space"
Dongtan Keumkang Penterium IT Tower_P_007.jpg,"a very tall building sitting on the side of a road, sharp hq rendering, sleek glass buildings, full of clear glass facades, lumion rendering, architectural rendering, detailed renderings, conceptual rendering, rendering of checkmate, glass obelisks, detailed rendering, renderhub next2020, full of glass facades, modern glass building"
Dongtan Penterium IT Tower_P_002.jpg,"a very tall building with a lot of windows, sharp hq rendering, full of clear glass facades, lumion rendering, rendering of checkmate, sleek glass buildings, multistory building, architectural rendering, detailed rendering, detailed renderings, dense architecture, inspired by Victor Enrich, vertical architecture, three - dimensional rendering, overall architectural design, renderhub next2020"
Dongtan Waterfront_P_002.jpg,"a large body of water surrounded by tall buildings, sao paulo in the year 2 0 7 0, futuristic sao paulo, lumion rendering, detailed renderings, elegant bridges between towers, beautiful russia of the future, sharp hq rendering, photoralistic rendering, conceptual rendering, cities flourishing, russian city of the future, soaring towers and bridges, sim city 4"
Dongtan Waterfront_P_003.jpg,"a large body of water sitting next to a lush green hillside, pyongyang city, pyongyang, sao paulo in the year 2 0 7 0, traditional korean city, in an eco city, smooth utopian design, heise jinyao, city environment, utopian city, concept image, trampling over pyongyang, sleek utopian design"
Dongtan Waterfront_P_004.jpg,"a group of people walking down a sidewalk next to a river, beautiful russia of the future, russian city of the future, city of the future in russia, in an eco city, rendered in enscape, parks and public space, lumion rendering, detailed renderings, sao paulo in the year 2 0 7 0, landscape architecture photo, sharp hq rendering"
Dongwha Pharm Chungju cGMP Factory_P_002.jpg,"a large building sitting on top of a lush green field, research complex, research center, modern technology building, office building, medical research facility, megatall building, overwatch building, multistory building, in realistic data center, data center, the hard and strong buildings, south korean male, analog data processing plant, joongwon jeong, cybernetic culture research unit"
Dongwha Pharm Chungju cGMP Factory_P_003.jpg,"a building with a lot of windows next to a street, medical research facility, overall architectural design, metal cladding wall, research complex, 1 3 3 4 building, exterior design, metal panels, research center, megatall building, coper cladding, modern technology building, south korean male, medical complex, architectural finishes, polygonal iron steel walls, iron cladding"
Dongwha Pharm Chungju cGMP Factory_P_004.jpg,"a row of air conditioning units on the side of a building, coper cladding, datacentre, metal cladding wall, metal panels, metallic shutter, polygonal iron steel walls, metallic reflective surfaces, black steel buildings, extreamly detailed data center, data center, refrigerated storage facility, industrial buildings, industrial architecture, perforated metal, warehouses"
Dongwha Pharm Chungju cGMP Factory_P_005.jpg,"a living room filled with furniture and large windows, large glass windows, clear glass wall, transparent glass surfaces, steel window mullions, sliding glass windows, full of clear glass facades, floor - to - ceiling windows, reflective glass, glass wall, commercial lighting, glass walls, sleek glass buildings, bright it interiors, mirror and glass surfaces"
Dongwha Pharm Chungju cGMP Factory_P_006.jpg,"a group of people working in a lab, handling laboratory equipment, medical laboratory, in futuristic laboratory room, medical lab, in a laboratory, futuristic laboratory, laboratory background, in laboratory, laboratory, research complex, in a lab, medical research facility, smoky laboratory, research center, in a cluttered lab, futuristic scientific laboratory, on a advanced lab, tools for science research"
Dongwha Pharm Chungju cGMP Factory_P_008.jpg,"a large building sitting on top of a lush green field, joongwon jeong, research complex, pharmacy, medical research facility, polygonal iron steel walls, joongwon charles jeong, white building, clean medical environment, medical complex, kdp, architecture award winner, multistory building, award winning architecture, analog data processing plant, dezeen, concentrated buildings"
Dongwha Pharm Chungju cGMP Factory_P_009.jpg,"a couple of benches sitting in front of a building, commercial lighting, overall architectural design, metal cladding wall, environmental lighting, metal panels, metal hard surfaces, reddish exterior lighting, exterior design, polygonal iron steel walls, volumetric outdoor lighting, architectural finishes, modern technology building, coper cladding, sustainable architecture, architectural design, rough concrete walls"
Dongwha Pharm Chungju cGMP Factory_P_010.jpg,"a large building sitting on the side of a road, south korean male, heise jinyao, polygonal iron steel walls, clean medical environment, traditional korean city, medical research facility, medical complex, gipf project, joongwon jeong, south korea, gongbi, hospital background, office building, metal cladding wall, aetstationhd, korean writing"
Dongwha Pharm Chungju cGMP Factory_P_011.jpg,"a large building sitting on the side of a road, metal rust and plaster materials, metal hard surfaces, metal panels, metal cladding wall, medical research facility, modern technology building, iron cladding, exterior design, 1 3 3 4 building, research complex, overall architectural design, coper cladding, research center, exterior shot, polygonal iron steel walls"
Dongwha Pharm Laboratory_P_002.jpg,"a large blue building sitting on the side of a road, terran trade authority, clean medical environment, corporate photo, the hard and strong buildings, renderhub next2020, gipf project, office building, overwatch building, analog data processing plant, promotional still wide angle, red building, heise jinyao, research complex, high-tech environment"
Dongwha Pharm Laboratory_P_003.jpg,"a man sitting on a bench in front of a building, medical research facility, research complex, polygonal iron steel walls, research center, overwatch building, multistory building, modern technology building, modern glass building, full of clear glass facades, in realistic data center, clean medical environment, south korean male, megatall building, data center, metal cladding wall"
Dongwha Pharm Laboratory_P_004.jpg,"a building with a parking lot in front of it, office building, renderhub next2020, clean medical environment, research complex, the hard and strong buildings, modern technology building, corporate photo, aetstationhd, research center, multistory building, terran trade authority, polygonal iron steel walls, heise jinyao, kyoani studio"
Dongwha Pharm Laboratory_P_005.jpg,"a man sitting on a bench in front of a building, full of clear glass facades, sleek glass buildings, modern glass building, metal panels, transparent glass surfaces, large glass windows, paler. millions of glass-walled, metal cladding wall, reflective glass, buildings photorealism, floor - to - ceiling windows, sliding glass windows, coper cladding"
Dongwha Pharm Laboratory_P_006.jpg,"a building that has a lot of windows on it, coper cladding, metal cladding wall, polygonal iron steel walls, metal panels, full of clear glass facades, metallic reflective surfaces, medical research facility, modern glass building, reflective glass, plastic ceramic material, white building, modern technology building, multistory building, research complex, megatall building"
Dongwha Pharm Laboratory_P_008.jpg,"a large building sitting on top of a grass covered field, heise jinyao, dezeen, analog data processing plant, corporate photo, overwatch building, yintion j - jiang geping, gipf project, fzd school of design, renderhub next2020, feng zhu |, promotional still wide angle, research complex"
Dongwha Pharm Laboratory_P_009.jpg,"a couple of buildings that are next to each other, multistory building, medical research facility, polygonal iron steel walls, research complex, office building, overall architectural design, megatall building, modern technology building, coper cladding, industrial architecture, research center, cg architects, industrial buildings, rough concrete walls, medical laboratory, plastic ceramic material, metal hard surfaces"
Dongwha Pharm Laboratory_P_010.jpg,"a building that has a lot of windows on it, full of clear glass facades, medical research facility, modern glass building, office building, paler. millions of glass-walled, research complex, multistory building, sleek glass buildings, south korean male, large glass windows, megatall building, overwatch building, overall architectural design, transparent glass surfaces"
Dongwha Pharm Laboratory_P_011.jpg,"a tall building sitting on top of a lush green field, polygonal iron steel walls, floating buildings, open wall architecture, minimalist architecture, housing architecture, multistory building, white wall complex, rough concrete walls, minimalistic architecture, joongwon jeong, passive house, full of clear glass facades, coper cladding, colorful tiled architecture"
Doosan Changwon Kindergarten Remodeling_P_002.jpg,"a building that has some stairs in front of it, ouchh and and innate studio, research complex, school courtyard, full of clear glass facades, architecture award winner, artsationhq, akitipe studios, medical complex, polygonal iron steel walls, overwatch building, fxaa, arstationhq, cg architects, overall architectural design"
Doosan Changwon Kindergarten Remodeling_P_003.jpg,"a large white building sitting on the side of a road, kyoto animation studio, well-designed masterpiece, activity play centre, red - yellow - blue building, dezeen showroom, architecture award winner, artsationhq, avetetsuya studios, overwatch building, cg architects, passive house, full of clear glass facades, ( colorful ), traditional korean city"
Doosan Changwon Kindergarten Remodeling_P_004.jpg,"a child's play area in front of a building, inside elementary school, activity play centre, japanese high school, school courtyard, tosa school, ( colorful ), cg architects, overwatch building, south korea, the hard and strong buildings, kyoto animation studio, danube school, american school, kids place, overall architectural design, architecture award winner, architectural design"
Doosan Changwon Kindergarten Remodeling_P_005.jpg,"a brightly colored children's play area in a building, kids place, bright it interiors, white map library, interior design architecture, houzz, amusement park interior design, fancy library, ((((library interior)))), inside elementary school, environmental lighting, inside a library, traditional korean interior, interior of a library, wolff olins |"
Doosan Changwon Kindergarten Remodeling_P_006.jpg,"a room filled with lots of colorful furniture, activity play centre, children playground, amusement park interior design, kids place, softplay, inside elementary school, japanese architecture, candy hospital room, apartment complex made of tubes, houzz, inside a futuristic army base, clean medical environment, chiho aoshima color scheme, bright it interiors, urban playground"
Doosan Changwon Kindergarten Remodeling_P_007.jpg,"a group of buildings sitting on the side of a road, ouchh and and innate studio, apartment complex made of tubes, colorful tiled architecture, architecture award winner, brightly colored buildings, bold architecture, housing architecture, mass housing, passive house, polygonal iron steel walls, full of clear glass facades, well-designed masterpiece, sustainable architecture"
Doosan Changwon Kindergarten Remodeling_P_008.jpg,"a child's play area in front of a building, activity play centre, coper cladding, sustainable architecture, barbizon school, kids place, school courtyard, urban playground, the hard and strong buildings, multistory building, american school, award winning architecture, sustainable materials, danube school, paris school, accent lighting : : peugot onyx, exterior design"
Doosan Changwon Kindergarten Remodeling_P_009.jpg,"a red fire hydrant sitting in front of a building, award winning architecture, northern star at night, architecture award winner, lit. 'the cube', modern glass building, megatall building, sustainable architecture, by Sydney Prior Hall, architecture award winning, full of clear glass facades, white map library, modern lush condo as shopfront, modern technology building, bold architecture"
Doosan Changwon Kindergarten Remodeling_P_010.jpg,"a brightly colored children's play area in a building, office ceiling panels, amusement park interior design, children playground, suspended ceiling, kids place, houzz, softplay, inside elementary school, clean medical environment, urban playground, fluorescent ceiling lights, ouchh and and innate studio, activity play centre, environmental lighting, filled with plants and habitats"
Dukso District 2 Apartment_P_002.jpg,"a group of tall buildings sitting on top of a lush green hillside, lumion rendering, detailed renderings, skybridge towers, detailed rendering, sao paulo in the year 2 0 7 0, skyscraper forest community, megabuildings, photoralistic rendering, rendering of checkmate, realistic. cheng yi, inspired by Ma Wan, mass housing"
Dukso District 2 Apartment_P_003.jpg,"a group of tall buildings sitting on top of a lush green hillside, tibetan inspired architecture, lumion rendering, overall architectural design, chinese architecture, arsitektur nusantara, detailed renderings, duy beni serial, skybridge towers, detailed rendering, sustainable architecture, architectural design, architecture design, architectural rendering, architectural planning, digital rendering, architecture visualization"
Dukso District 2 Apartment_P_004.jpg,"an artist's rendering of a modern city, sci-fi building. isometric view, mass housing, detailed renderings, in future airport rooftop, isometric invironment, ecovillage, russian city of the future, anno 2070, vegetated roofs, detail render, architectural concept diagram, rendering of checkmate, solarpunk architecture, detailed rendering"
Dukso District 2 Apartment_P_005.jpg,"a group of people sitting next to a swimming pool, lumion rendering, detailed rendering, architectural rendering, rendering of checkmate, overall architectural design, modern lush condo as shopfront, highly detailed architecture, architecture digest, photoralistic rendering, detailed renderings, digital rendering, luxury condo interior, renderhub next2020, mantra rendering"
E-MART Gimpo Hangang_P_002.jpg,"the outside of a walgree store lit up at night, southdale center, multistory building, the hard and strong buildings, by An Gyeon, retaildesignblog.net, 5000k white product lighting, ue marketplace, full of clear glass facades, retaildesignblog, modern glass building, dezeen, commercial lighting, architecture award winner"
E-MART Gimpo Hangang_P_003.jpg,"an aerial view of a city at night, shopping mall, traditional korean city, retaildesignblog.net, hyperdetailed samsung store, southdale center, scenic view at night, northern star at night, appearing in a shopping mall, commercial lighting, urban plaza, multistory building, trading depots, glowing epicentre, night view, on a futuristic shopping mall"
E-MART Gimpo Hangang_P_004.jpg,"a large brown building sitting on the side of a road, retaildesignblog.net, traditional korean city, big poor building, ekasportal, architectural rendering, retaildesignblog, ue marketplace, emtpy space, inspired by John Ellsworth Weis, refrigerated storage facility, architecture award winner, overall architectural design, single building, realistic building, award winning architecture"
E-MART Gimpo Hangang_P_006.jpg,"a large brown building sitting on the side of a road, giant hall, red - yellow - blue building, shopping mall, red building, manhwa, promotional still wide angle, retaildesignblog.net, the hard and strong buildings, big hall, award-winning cinema, appearing in a shopping mall, educational supplies, full building, photo for a store"
E-MART Gimpo Hangang_P_008.jpg,"a large red building sitting on the side of a road, retaildesignblog.net, emtpy space, inspired by Edi Rama, smart design, ekasportal, urban plaza, ue marketplace, architecture award winner, overall architectural design, award winning architecture, retaildesignblog, refrigerated storage facility, extreamly detailed data center"
